1,0.2941
2,1.2044
3,1.205
4,3.0919
5,3.437
6,9.5538
7,11.4318
8,16.5017
9,11.2411
10,13.5354
11,15.6115
12,27.296
13,19.2007
14,24.6339
15,23.2411
16,30.4625
17,29.2628
18,43.1065
19,41.3568
20,61.7641
21,50.5164
22,100.464
23,91.4086
24,131.947
25,86.9365
26,92.1183
27,97.2096
28,115.015
29,103.606
30,127.113
31,115.557
32,112.377
33,109.978
34,122.438
35,125.041
36,138.714
37,141.608
38,160.362
39,158.564
40,170.973
41,173.767
42,184.72
43,188.685
44,201.427
45,218.611
46,220.825
47,220.848
48,306.481
49,254.138
50,273.002
