1,0.2548
1.5,0.4769
2,1.8384
2.5,1.657
3,1.2665
3.5,1.1221
4,3.0615
4.5,3.017
5,3.2454
5.5,3.5038
6,7.0132
6.5,6.8503
7,7.7704
7.5,8.0324
8,11.0935
8.5,9.2647
9,11.2312
9.5,11.6165
10,15.1039
10.5,15.4356
11,13.9921
11.5,13.8394
12,20.1098
12.5,20.8292
13,20.4004
13.5,22.2241
14,38.1688
14.5,35.4329
15,30.8416
15.5,27.7998
16,47.8104
16.5,41.2227
17,35.6885
17.5,35.8492
18,40.7491
18.5,39.4012
