thickness,threads,openmp
300
1,2,1.5895
1,4,0.242
1,7,0.2278
1,8,0.2544
1,9,0.2732
1,10,0.434
1,16,0.2768
1,32,0.2147
1,64,0.2488
1,128,0.231
1,256,0.2441
2,2,0.9273
2,4,0.952
2,7,0.8798
2,8,1.0211
2,9,1.1015
2,10,0.5776
2,16,0.6466
2,32,0.6369
2,64,0.6624
2,128,0.6115
2,256,0.6306
3,2,1.0236
3,4,1.0595
3,7,0.9834
3,8,0.9744
3,9,1.0807
3,10,1.0772
3,16,0.9948
3,32,0.8907
3,64,0.9229
3,128,1.0295
3,256,1.0716
4,2,2.1587
4,4,2.138
4,7,2.2389
4,8,2.3423
4,9,2.4048
4,10,2.3698
4,16,2.5738
4,32,2.8459
4,64,3.0522
4,128,2.567
4,256,2.4341
5,2,2.4281
5,4,2.478
5,7,2.5958
5,8,2.6695
5,9,2.5532
5,10,2.8427
5,16,2.8164
5,32,2.7709
5,64,2.5221
5,128,2.5737
5,256,2.6298
6,2,4.9037
6,4,5.3459
6,7,5.2988
6,8,4.9192
6,9,4.9105
6,10,4.6371
6,16,5.4894
6,32,6.3813
6,64,5.2184
6,128,4.4839
6,256,4.5757
7,2,4.4877
7,4,5.4979
7,7,6.4857
7,8,3.1723
7,9,3.0898
7,10,3.1402
7,16,3.1589
7,32,2.8555
7,64,3.0633
7,128,3.1597
7,256,2.985
8,2,4.8565
8,4,4.6804
8,7,8.031
8,8,8.5994
8,9,6.1936
8,10,5.0085
8,16,5.4828
8,32,5.4993
8,64,4.8437
8,128,5.3103
8,256,5.9254
9,2,7.7326
9,4,5.384
9,7,4.914
9,8,4.8139
9,9,4.9956
9,10,5.1484
9,16,5.1547
9,32,4.9858
9,64,7.53
9,128,7.8975
9,256,6.4153
10,2,6.8155
10,4,8.0687
10,7,7.259
10,8,7.1361
10,9,7.6163
10,10,8.4466
10,16,6.864
10,32,7.3607
10,64,7.6809
10,128,7.6419
10,256,7.6245
11,2,7.6462
11,4,7.0028
11,7,7.9668
11,8,7.1255
11,9,8.1152
11,10,7.1814
11,16,7.4934
11,32,7.8348
11,64,10.3248
11,128,7.9018
11,256,7.4286
12,2,9.844
12,4,10.3931
12,7,9.9163
12,8,10.0468
12,9,14.0257
12,10,10.0982
12,16,10.633
12,32,11.9957
12,64,10.6757
12,128,9.6319
12,256,10.7571
13,2,10.3722
13,4,9.8813
13,7,10.2934
13,8,11.1332
13,9,11.1966
13,10,9.8417
13,16,10.993
13,32,10.552
13,64,10.6859
13,128,9.9482
13,256,10.8042
14,2,13.892
14,4,21.3772
14,7,18.3705
14,8,13.2804
14,9,13.1599
14,10,12.6611
14,16,14.0681
14,32,12.8571
14,64,12.9747
14,128,12.7867
14,256,14.691
15,2,13.1576
15,4,13.8
15,7,13.9095
15,8,13.4164
