thickness,threads,openmp
1500
1,2,3.2999
1,4,1.4857
1,7,1.2175
1,8,1.2592
1,9,1.2166
1,10,1.2525
1,16,1.5634
1,32,1.3935
1,64,1.2659
1,128,1.3189
1,256,1.0646
2,2,4.0763
2,4,6.1364
2,7,5.0177
2,8,3.404
2,9,3.3485
2,10,4.1691
2,16,4.6881
2,32,3.4743
2,64,3.5207
2,128,3.455
2,256,5.4486
3,2,7.5367
3,4,4.6873
3,7,4.6552
3,8,5.6265
3,9,6.4677
3,10,5.3139
3,16,6.5251
3,32,6.7858
3,64,7.0084
3,128,8.5652
3,256,7.1266
4,2,15.8929
4,4,14.2517
4,7,10.0576
4,8,11.1375
4,9,14.5871
4,10,16.6353
4,16,14.3573
4,32,9.7232
4,64,8.415
4,128,7.964
4,256,8.5616
5,2,8.248
5,4,8.0508
5,7,8.342
5,8,9.1414
5,9,8.1621
5,10,11.597
5,16,8.0726
5,32,10.11
5,64,16.2492
5,128,9.737
5,256,9.0984
6,2,18.2834
6,4,68.7668
6,7,42.6736
6,8,30.2542
6,9,15.8134
6,10,15.7768
6,16,16.3259
6,32,17.5551
6,64,31.9376
6,128,20.6215
6,256,16.7737
7,2,18.6179
7,4,19.976
7,7,22.6671
7,8,15.2983
7,9,16.4022
7,10,16.5885
7,16,16.8834
7,32,15.4992
7,64,16.3616
7,128,15.8655
7,256,18.3951
8,2,26.044
8,4,24.0427
8,7,25.042
8,8,26.2032
8,9,25.6797
8,10,34.3761
8,16,25.483
8,32,24.5984
8,64,24.0955
8,128,66.7446
8,256,62.8409
9,2,52.974
9,4,25.4677
9,7,25.9151
9,8,24.896
9,9,27.0686
9,10,29.9921
9,16,25.8576
9,32,25.2407
9,64,24.9872
9,128,27.7709
9,256,26.2088
10,2,36.0246
10,4,35.4636
10,7,58.7771
10,8,42.1326
10,9,36.3077
10,10,36.7688
10,16,49.6714
10,32,36.8352
10,64,38.3169
10,128,39.6134
10,256,37.6464
11,2,38.9573
11,4,37.6107
11,7,36.8096
11,8,45.1991
11,9,44.2971
11,10,36.9051
11,16,41.082
11,32,39.0506
11,64,37.1777
11,128,44.5358
11,256,37.9906
12,2,49.0738
12,4,53.721
12,7,53.0314
12,8,54.0164
12,9,55.3615
12,10,55.729
12,16,100.204
12,32,57.4442
12,64,68.4539
12,128,51.9314
12,256,80.5053
13,2,73.4554
13,4,54.0189
13,7,61.1989
13,8,107.644
13,9,88.028
13,10,91.8001
13,16,51.0122
13,32,52.6593
13,64,50.1652
13,128,68.8982
13,256,55.6774
14,2,77.2403
14,4,74.1262
14,7,70.0156
14,8,66.2908
14,9,64.8032
14,10,63.9205
14,16,71.1139
14,32,68.2066
14,64,73.5549
14,128,112.854
14,256,106.828
15,2,120.453
15,4,103.161
15,7,66.7247
15,8,97.3859
15,9,96.0719
15,10,81.8701
15,16,105.913
15,32,69.9539
15,64,67.6976
15,128,65.6874
15,256,73.2408
16,2,100.207
16,4,94.1462
16,7,101.24
16,8,84.9237
16,9,85.9074
16,10,105.193
16,16,115.003
16,32,91.4123
16,64,93.5052
16,128,94.8676
16,256,87.1851
17,2,87.8599
17,4,100.425
17,7,123.671
17,8,118.983
17,9,91.8825
17,10,88.5486
17,16,84.5449
17,32,86.9235
17,64,104.634
17,128,129.507
17,256,95.5802
18,2,107.817
18,4,108.071
18,7,105.538
18,8,115.206
18,9,102.927
18,10,131.158
18,16,110.319
18,32,104.046
18,64,109.406
18,128,111.799
18,256,105.288
19,2,102.637
19,4,105.072
19,7,110.54
19,8,102.795
19,9,108.789
19,10,107.127
19,16,105.783
19,32,104.963
19,64,103.615
19,128,109.967
19,256,102.185
20,2,128.613
20,4,134.836
20,7,126.902
20,8,131.904
20,9,128.495
20,10,127.452
20,16,127.99
20,32,125.544
20,64,133.385
20,128,125.321
20,256,135.053
21,2,122.512
21,4,139.613
21,7,130.015
21,8,154.085
21,9,122.332
21,10,129.812
21,16,137.776
21,32,130.827
21,64,124.794
21,128,131.15
21,256,129.161
22,2,157.935
22,4,160.804
22,7,160.262
22,8,153.9
22,9,168.449
22,10,171.182
22,16,151.286
22,32,163.634
22,64,159.163
22,128,162.623
22,256,150.897
23,2,152.05
23,4,163.343
23,7,147.419
23,8,153.366
23,9,151.794
23,10,151.44
23,16,158.833
23,32,161.194
23,64,151.832
23,128,159.764
23,256,181.602
24,2,183.513
24,4,181.464
24,7,184.322
24,8,175.51
24,9,193.226
24,10,187.861
24,16,241.805
24,32,232.458
24,64,211.217
24,128,203.298
24,256,230.5
25,2,212.196
25,4,256.454
25,7,190.464
25,8,189.326
25,9,184.688
25,10,183.209
25,16,183.013
25,32,178.704
25,64,189.13
25,128,187.787
25,256,178.376
26,2,208.52
26,4,209.85
26,7,214.872
26,8,221.586
26,9,220.064
26,10,214.997
26,16,217.285
26,32,213.934
26,64,209.608
26,128,210.846
26,256,233.846
27,2,214.031
27,4,232.366
27,7,218.793
27,8,222.792
27,9,279.61
27,10,238.834
27,16,229.027
27,32,225.589
27,64,213.028
27,128,286.415
27,256,228.556
28,2,278.751
28,4,248.723
28,7,245.216
28,8,309.326
28,9,266.701
28,10,283.584
28,16,271.105
28,32,302.647
28,64,248.568
28,128,241.156
28,256,264.805
29,2,240.673
29,4,237.773
29,7,244.636
29,8,242.692
29,9,248.385
29,10,245.973
29,16,241.248
29,32,238.452
29,64,256.32
29,128,245.925
29,256,239.776
30,2,274.958
30,4,273.215
30,7,275.593
30,8,268.329
30,9,283.791
30,10,285.135
30,16,292.072
30,32,349.697
30,64,272.205
30,128,276.059
30,256,274.837
31,2,279.215
31,4,278.16
31,7,288.802
31,8,274.2
31,9,284.269
31,10,277.926
31,16,279.645
31,32,282.713
31,64,274.88
31,128,272.068
31,256,282.223
32,2,313.823
32,4,334.098
32,7,313.291
32,8,310.13
32,9,330.861
32,10,301.756
32,16,309.589
32,32,311.446
32,64,317.164
32,128,328.621
32,256,318.254
33,2,303.457
33,4,353.571
33,7,399.629
33,8,318.781
33,9,326.475
33,10,332.403
33,16,334.683
33,32,317.212
33,64,316.787
33,128,400.652
33,256,462.55
34,2,352.604
34,4,380.846
34,7,362.468
34,8,360.809
34,9,351.586
34,10,348.277
34,16,355.905
34,32,339.616
34,64,347.337
34,128,344.174
34,256,345.322
35,2,363.642
35,4,348.91
35,7,371.437
35,8,356.156
35,9,352.001
35,10,386.172
35,16,385.568
35,32,388.537
35,64,432.555
35,128,430.947
35,256,386.198
36,2,453.946
36,4,438.325
36,7,536.697
