thickness,threads,openmp
33,256,111.32
34,2,122.88
34,4,125.809
34,7,123.159
34,8,124.156
34,9,123.414
34,10,128.006
34,16,122.993
34,32,125.929
34,64,128.893
34,128,128.74
34,256,125.214
35,2,128.885
35,4,124.459
35,7,126.683
35,8,122.267
35,9,129.806
35,10,125.246
35,16,126.758
35,32,127.42
35,64,127.569
35,128,124.219
35,256,125.867
36,2,135.683
36,4,138.283
36,7,136.905
36,8,141.469
36,9,141.662
36,10,145.05
36,16,138.949
36,32,145.084
36,64,141.235
36,128,149.229
36,256,148.302
37,2,146.223
37,4,144.826
37,7,150.636
37,8,143.941
37,9,139.869
37,10,143.502
37,16,146.493
37,32,145.338
37,64,152.872
37,128,148.756
37,256,165.24
38,2,167.652
38,4,159.986
38,7,161.102
38,8,159.257
38,9,161.153
38,10,165.827
38,16,165.205
38,32,165.53
38,64,164.162
38,128,165.99
38,256,160.457
39,2,167.028
39,4,159.872
39,7,169.175
39,8,157.85
39,9,167.1
39,10,156.783
39,16,162.252
39,32,165.07
39,64,159.631
39,128,161.964
39,256,159.626
40,2,177.519
40,4,176.361
40,7,173.966
40,8,173.542
40,9,176.047
40,10,173.368
40,16,178.691
40,32,172.778
40,64,180.64
40,128,174.692
40,256,179.208
41,2,178.387
41,4,173.559
41,7,182.22
41,8,184.217
41,9,184.613
41,10,171.876
41,16,180.067
41,32,172.595
41,64,185.032
41,128,178.376
41,256,175.911
42,2,200.708
42,4,199.392
42,7,194.509
42,8,192.886
42,9,190.822
42,10,195.896
42,16,201.747
42,32,196.258
42,64,212.696
42,128,202.761
42,256,241.098
43,2,198.054
43,4,198.482
43,7,204.905
43,8,189.282
43,9,199.142
43,10,196.883
43,16,196.236
43,32,193.65
43,64,193.894
43,128,189.965
43,256,200.533
44,2,212.572
44,4,215.243
44,7,203.508
44,8,204.707
44,9,214.517
44,10,214.025
44,16,203.44
44,32,205.232
44,64,211.07
44,128,207.466
44,256,202.405
45,2,209.616
45,4,218.532
45,7,207.455
45,8,206.041
45,9,204.406
45,10,206.939
45,16,218.484
45,32,259.344
45,64,207.262
45,128,244.514
45,256,210.017
46,2,242.829
46,4,238.637
46,7,234.186
46,8,234.957
46,9,237.407
46,10,227.861
46,16,233.785
46,32,231.41
46,64,242.445
46,128,251.519
46,256,229.185
47,2,234.888
47,4,228.129
47,7,229.214
47,8,261.3
47,9,235.181
47,10,230.662
47,16,236.191
47,32,228.22
47,64,227.102
47,128,226.191
47,256,224.577
48,2,250.605
48,4,255.037
48,7,256.651
48,8,259.264
48,9,251.319
48,10,257.206
48,16,247.423
48,32,259.018
48,64,254.694
48,128,258.188
48,256,261.921
49,2,250.228
49,4,254.206
49,7,253.851
49,8,249.678
49,9,256.278
49,10,256.296
49,16,256.498
49,32,253.035
49,64,251.149
49,128,256.207
49,256,250.986
50,2,268.031
50,4,272.107
50,7,274.83
50,8,267.29
50,9,268.727
50,10,271.744
50,16,271.281
50,32,265.199
50,64,276.525
50,128,267.527
50,256,274.397
