thickness,threads,threaded
33,64,52.4613
33,128,72.1244
33,256,109.617
34,2,68.6015
34,4,57.5693
34,7,39.6022
34,8,52.4201
34,9,38.4574
34,10,40.9958
34,16,42.8219
34,32,44.0607
34,64,56.0213
34,128,76.1948
34,256,112.812
35,2,67.2138
35,4,47.3327
35,7,37.1974
35,8,40.1702
35,9,39.1141
35,10,41.8582
35,16,38.9701
35,32,41.2949
35,64,52.9241
35,128,74.7189
35,256,115.675
36,2,82.0549
36,4,58.5913
36,7,41.4317
36,8,40.5585
36,9,47.1431
36,10,44.692
36,16,46.4043
36,32,47.5018
36,64,54.8003
36,128,78.0124
36,256,128.264
37,2,80.096
37,4,51.5098
37,7,42.2708
37,8,57.5485
37,9,48.9409
37,10,45.046
37,16,42.7868
37,32,44.7544
37,64,55.5841
37,128,82.5639
37,256,126.793
38,2,88.3619
38,4,66.5161
38,7,44.1355
38,8,46.0391
38,9,46.9675
38,10,50.2113
38,16,47.4408
38,32,50.2788
38,64,57.8921
38,128,80.8376
38,256,130.297
39,2,84.1347
39,4,64.8775
39,7,50.4124
39,8,47.7636
39,9,44.8729
39,10,46.2119
39,16,47.6539
39,32,53.1293
39,64,62.4125
39,128,80.5817
39,256,133.558
40,2,96.3176
40,4,52.9526
40,7,49.935
40,8,51.3592
40,9,54.1962
40,10,60.4933
40,16,54.094
40,32,60.3685
40,64,66.0109
40,128,86.5852
40,256,139.276
41,2,107.362
41,4,66.4815
41,7,47.8674
41,8,52.8207
41,9,52.7485
41,10,55.8332
41,16,50.0271
41,32,54.8435
41,64,65.2202
41,128,86.3869
41,256,146.91
42,2,109.832
42,4,66.1701
42,7,53.7934
42,8,61.5618
42,9,61.851
42,10,63.4091
42,16,62.2455
42,32,55.7017
42,64,67.3877
42,128,90.0482
42,256,132.943
43,2,101.378
43,4,62.5012
43,7,58.7578
43,8,55.0601
43,9,63.1183
43,10,55.7351
43,16,54.8829
43,32,59.4168
43,64,65.3045
43,128,90.0065
43,256,135.06
44,2,120.639
44,4,75.0817
44,7,59.793
44,8,59.1117
44,9,59.1738
44,10,61.6902
44,16,61.4222
44,32,60.2002
44,64,72.1883
44,128,95.7436
44,256,137.418
45,2,126.109
45,4,86.5297
45,7,60.7471
45,8,62.0088
45,9,62.3038
45,10,59.5972
45,16,55.9561
45,32,73.0221
45,64,72.9705
45,128,92.0979
45,256,139.963
46,2,118.392
46,4,83.7094
46,7,60.9602
46,8,62.454
46,9,63.1392
46,10,71.2751
46,16,61.3089
46,32,71.0614
46,64,79.5808
46,128,107.782
46,256,147.146
47,2,123.561
47,4,95.7578
47,7,59.4585
47,8,63.2307
47,9,64.3338
47,10,68.0907
47,16,62.4462
47,32,69.8892
47,64,75.1763
47,128,101.518
47,256,144.359
48,2,136.682
48,4,104.528
48,7,72.2142
48,8,71.5725
48,9,68.1227
48,10,72.2725
48,16,65.7903
48,32,72.2305
48,64,83.9067
48,128,102.296
48,256,151.664
49,2,139.506
49,4,89.8754
49,7,73.4571
49,8,70.8446
49,9,77.401
49,10,78.5865
49,16,68.4642
49,32,71.8758
49,64,85.2857
49,128,104.106
49,256,155.773
50,2,151.232
50,4,110.023
50,7,77.5592
50,8,75.8101
50,9,79.3849
50,10,78.6936
50,16,72.1151
50,32,80.2633
50,64,88.1759
50,128,108.422
50,256,157.121
