thickness,threads,threaded
300
1,2,7.51
1,4,2.831
1,7,4.7583
1,8,5.3875
1,9,3.1949
1,10,3.2671
1,16,4.9826
1,32,10.028
1,64,20.7622
1,128,55.9087
1,256,106.289
2,2,2.4781
2,4,2.6346
2,7,3.6345
2,8,4.0099
2,9,4.1856
2,10,4.5004
2,16,6.9359
2,32,12.2581
2,64,24.1321
2,128,53.7962
2,256,108.341
3,2,3.2034
3,4,2.8626
3,7,4.0167
3,8,4.1877
3,9,4.821
3,10,4.975
3,16,7.4306
3,32,13.7394
3,64,28.922
3,128,58.8549
3,256,124.262
4,2,4.1754
4,4,4.4697
4,7,4.9996
4,8,5.4473
4,9,5.8185
4,10,6.5167
4,16,8.5631
4,32,18.2087
4,64,32.0771
4,128,64.9421
4,256,130.555
5,2,4.0871
5,4,5.2865
5,7,4.933
5,8,5.6847
5,9,5.8942
5,10,8.32
5,16,8.9252
5,32,15.8716
5,64,32.2987
5,128,78.1505
5,256,134.708
6,2,6.9928
6,4,7.174
6,7,7.4842
6,8,7.7591
6,9,8.1063
6,10,8.8462
6,16,11.2515
6,32,21.1002
6,64,35.4256
6,128,65.9273
6,256,128.808
7,2,7.013
7,4,7.0744
7,7,7.1261
7,8,7.7475
7,9,8.43
7,10,8.5657
7,16,13.5649
7,32,19.9981
7,64,33.4941
7,128,64.0094
7,256,134.612
8,2,10.9934
8,4,9.2008
8,7,8.8124
8,8,13.6196
8,9,13.191
8,10,12.5658
8,16,14.1464
8,32,22.1022
8,64,35.1293
8,128,63.2993
8,256,130.556
9,2,11.0747
9,4,9.8032
9,7,9.0228
9,8,11.0423
9,9,11.2211
9,10,11.9367
9,16,13.9734
9,32,22.0346
9,64,34.6911
9,128,61.9596
9,256,140.769
10,2,15.5841
10,4,13.1304
10,7,13.7455
10,8,14.1611
10,9,12.0847
10,10,12.558
10,16,13.7387
10,32,19.7546
10,64,32.7124
10,128,60.0003
10,256,129.287
11,2,18.5818
11,4,11.7169
11,7,10.2464
11,8,11.296
11,9,11.2588
11,10,11.9852
11,16,13.8705
11,32,19.6896
11,64,31.6051
11,128,59.644
11,256,120.272
12,2,30.6218
12,4,16.4264
12,7,13.8214
12,8,19.8652
12,9,22.5518
12,10,14.9769
12,16,16.733
12,32,23.6476
12,64,35.061
12,128,62.935
12,256,123.24
13,2,18.7957
13,4,15.6351
13,7,12.8381
13,8,14.1364
13,9,14.6247
13,10,15.4038
13,16,18.3478
13,32,25.5836
13,64,34.8874
13,128,59.0202
13,256,149.815
14,2,36.9063
14,4,22.8906
14,7,19.6905
14,8,19.3988
14,9,17.5821
14,10,17.0991
14,16,18.2867
14,32,23.362
14,64,32.4987
14,128,55.8549
14,256,107.725
15,2,24.2315
15,4,20.7941
15,7,15.6754
15,8,16.3151
15,9,17.7161
15,10,17.3001
15,16,17.8164
15,32,22.5137
15,64,33.4934
15,128,57.392
15,256,102.953
16,2,31.3584
16,4,23.7271
16,7,17.3142
16,8,20.9474
16,9,21.3374
16,10,21.9602
16,16,22.7259
16,32,27.3309
16,64,37.6648
16,128,51.4715
16,256,97.6861
17,2,30.8197
17,4,24.5568
17,7,24.2414
17,8,25.2747
17,9,23.3735
17,10,21.4994
17,16,22.8914
17,32,24.1893
17,64,33.5971
17,128,56.4761
17,256,99.0522
18,2,53.6571
18,4,26.9901
18,7,20.8567
18,8,21.461
18,9,23.8091
18,10,22.9005
18,16,23.2135
18,32,27.3155
18,64,42.188
18,128,59.1138
18,256,100.463
19,2,36.985
19,4,31.5474
19,7,24.4331
19,8,25.7432
19,9,25.4553
19,10,24.0263
19,16,22.8152
19,32,27.0277
19,64,37.0414
19,128,58.3723
19,256,103.187
20,2,45.0642
20,4,35.3744
20,7,23.5493
20,8,22.9792
20,9,27.4705
20,10,25.7123
20,16,27.1393
20,32,34.7067
20,64,44.3124
20,128,62.9732
20,256,102.349
21,2,46.5215
21,4,36.101
21,7,25.1893
21,8,23.1386
21,9,28.0304
21,10,25.9538
21,16,28.2627
21,32,31.0252
21,64,40.9191
21,128,66.0134
21,256,108.949
22,2,53.7281
22,4,38.04
22,7,31.4605
22,8,37.5277
22,9,35.1928
22,10,30.5277
22,16,30.8838
22,32,34.4936
22,64,45.1208
22,128,69.5891
22,256,104.915
23,2,53.0532
23,4,42.6557
23,7,30.1474
23,8,28.9777
23,9,36.07
23,10,31.3951
23,16,29.9584
23,32,34.6909
23,64,45.8724
23,128,68.6178
23,256,109.428
24,2,62.6751
24,4,38.303
24,7,34.9381
24,8,41.3248
24,9,42.5754
24,10,41.7005
24,16,37.117
24,32,38.946
24,64,49.0897
24,128,76.2748
24,256,110.971
25,2,69.9833
25,4,45.8183
25,7,36.637
25,8,31.8896
25,9,36.6369
25,10,35.9571
25,16,32.872
25,32,38.9949
25,64,52.4666
25,128,69.7543
25,256,120.75
26,2,114.091
26,4,51.5335
26,7,35.994
26,8,36.8145
26,9,45.6369
26,10,42.4438
26,16,40.8239
26,32,46.0224
26,64,54.3828
26,128,75.5553
26,256,120.739
27,2,84.3405
27,4,53.2727
27,7,41.204
27,8,36.796
27,9,43.3284
27,10,39.8887
27,16,42.0642
27,32,54.0228
27,64,54.6484
27,128,75.1594
27,256,122.681
28,2,86.1691
28,4,56.7121
28,7,42.3432
28,8,43.9103
28,9,50.0268
28,10,47.9125
28,16,44.8421
28,32,48.5542
28,64,58.9963
28,128,81.9684
28,256,127.508
29,2,94.8873
29,4,60.849
29,7,43.2357
29,8,40.5218
29,9,50.3347
29,10,48.147
29,16,43.5509
29,32,49.5848
29,64,58.6571
29,128,81.7161
29,256,120.289
30,2,99.3813
30,4,72.5624
30,7,52.0795
30,8,48.2092
30,9,58.5984
30,10,56.2824
30,16,50.713
30,32,53.6714
30,64,67.8492
30,128,88.1284
30,256,130.594
31,2,101.967
31,4,65.4756
31,7,49.0705
31,8,49.3874
31,9,56.1001
31,10,54.2901
31,16,54.6603
31,32,55.1542
31,64,66.4346
31,128,87.5502
31,256,138.558
32,2,109.139
32,4,79.7823
32,7,60.496
32,8,53.2568
32,9,64.7024
32,10,67.0744
32,16,62.1157
32,32,58.0878
32,64,71.6608
32,128,96.0254
32,256,137.116
33,2,110.623
33,4,73.2589
33,7,54.6476
33,8,54.2678
33,9,65.3333
33,10,58.5215
33,16,55.0923
33,32,59.5465
33,64,77.6516
33,128,92.8321
33,256,146.146
34,2,124.123
