thickness,threads,threaded
37,32,422.241
37,64,433.761
37,128,513.439
37,256,509.343
38,2,818.19
38,4,608.727
38,7,432.215
38,8,424.759
38,9,435.736
38,10,439.501
38,16,477.522
38,32,446.059
38,64,470.931
38,128,488.92
38,256,547.022
39,2,853.743
39,4,492.682
39,7,428.561
39,8,471.011
39,9,449.042
39,10,453.39
39,16,538.639
39,32,628.992
39,64,674.677
39,128,690.104
39,256,628.023
40,2,1296.07
40,4,736.624
40,7,700.248
40,8,630.73
40,9,558.876
40,10,501.801
40,16,645.028
40,32,587.013
40,64,802.059
40,128,682.096
40,256,701.378
41,2,982.096
41,4,568.598
41,7,422.031
41,8,424.216
41,9,453.659
41,10,472.185
41,16,621.904
41,32,505.372
41,64,522.565
41,128,656.287
41,256,629.966
42,2,1009.36
42,4,622.365
42,7,510.106
42,8,535.955
42,9,542.814
42,10,528.767
42,16,587.908
42,32,545.644
42,64,549.54
42,128,682.597
42,256,706.721
43,2,997.514
43,4,659.181
43,7,499.775
43,8,509.681
43,9,523.496
43,10,508.967
43,16,537.043
43,32,488.612
43,64,525.616
43,128,549.671
43,256,618.589
44,2,1060.48
44,4,668.897
44,7,596.943
44,8,697.319
44,9,694.421
44,10,649.521
44,16,691.552
44,32,797.484
44,64,708.153
44,128,1032.26
44,256,1316.37
45,2,1639.76
45,4,1229.47
45,7,685.662
45,8,765.33
45,9,677.033
45,10,1136.29
45,16,868.891
45,32,607.693
45,64,590.56
45,128,628.342
45,256,763.679
46,2,1237.66
46,4,771.076
46,7,610.946
46,8,607.473
46,9,609.144
46,10,717.268
46,16,734.265
46,32,663.222
46,64,737.62
46,128,1085.18
46,256,1115.97
47,2,1528.07
47,4,1156.54
47,7,909.621
47,8,744.495
47,9,793.538
47,10,836.921
47,16,1138.92
47,32,919.809
47,64,1179.41
47,128,1318.79
47,256,1293.44
48,2,1738.39
48,4,1736.24
48,7,1081.5
48,8,1036.31
48,9,877.492
48,10,1406.71
48,16,1036.78
48,32,846.33
48,64,748.31
48,128,913.649
48,256,982.612
49,2,1383.6
49,4,802.316
49,7,687.227
49,8,666.637
49,9,708.671
49,10,670.702
49,16,694.514
49,32,751.144
49,64,783.084
49,128,890.321
49,256,817.094
50,2,1483.99
50,4,936.174
50,7,808.947
50,8,810.408
50,9,777.368
50,10,742.977
50,16,730.174
50,32,743.623
50,64,749.996
50,128,769.894
50,256,844.191
