thickness,threads,threaded
1500
1,2,8.0822
1,4,4.6225
1,7,6.3346
1,8,4.8676
1,9,4.3417
1,10,4.4082
1,16,5.4604
1,32,10.4325
1,64,25.6924
1,128,55.5223
1,256,101.071
2,2,11.7442
2,4,6.6809
2,7,7.5407
2,8,8.3009
2,9,7.5063
2,10,8.0565
2,16,9.4771
2,32,14.4377
2,64,25.4448
2,128,48.8898
2,256,104.428
3,2,7.8236
3,4,7.657
3,7,9.007
3,8,9.1401
3,9,8.509
3,10,9.0995
3,16,10.8442
3,32,17.8011
3,64,27.1367
3,128,53.3787
3,256,113.158
4,2,15.3652
4,4,15.6209
4,7,14.1976
4,8,15.3058
4,9,15.3333
4,10,14.1862
4,16,15.9343
4,32,21.9906
4,64,33.004
4,128,56.9709
4,256,107.562
5,2,15.7252
5,4,14.5564
5,7,13.2143
5,8,17.044
5,9,16.1731
5,10,14.726
5,16,15.3026
5,32,21.4456
5,64,32.0746
5,128,54.6889
5,256,106.649
6,2,30.0114
6,4,26.1158
6,7,23.7932
6,8,18.8008
6,9,23.4844
6,10,22.2503
6,16,23.1612
6,32,27.0586
6,64,35.6793
6,128,57.4224
6,256,102.852
7,2,31.6304
7,4,23.5708
7,7,19.5386
7,8,21.9335
7,9,20.0312
7,10,20.7811
7,16,20.9317
7,32,23.675
7,64,33.9583
7,128,54.7164
7,256,104.638
8,2,53.3587
8,4,36.8268
8,7,27.7988
8,8,34.6864
8,9,31.4744
8,10,32.3586
8,16,34.3538
8,32,32.8804
8,64,43.146
8,128,62.9335
8,256,109.779
9,2,72.1764
9,4,33.9098
9,7,26.6212
9,8,26.8047
9,9,32.281
9,10,29.1876
9,16,31.9115
9,32,35.3275
9,64,42.5013
9,128,63.378
9,256,112.167
10,2,72.1348
10,4,48.0877
10,7,36.1133
10,8,44.5243
10,9,43.8621
10,10,43.6
10,16,36.5743
10,32,41.3965
10,64,51.2523
10,128,72.8481
10,256,121.154
11,2,67.0502
11,4,47.8206
11,7,36.6954
11,8,46.6098
11,9,42.5594
11,10,40.3297
11,16,36.7977
11,32,41.8259
11,64,53.4034
11,128,72.375
11,256,111.62
12,2,94.7542
12,4,60.7033
12,7,46.3646
12,8,44.2753
12,9,54.3673
12,10,55.4264
12,16,48.6168
12,32,53.4004
12,64,63.1447
12,128,88.246
12,256,127.207
13,2,89.4816
13,4,67.6185
13,7,46.5652
13,8,44.4295
13,9,55.7385
13,10,55.729
13,16,47.8366
13,32,53.8657
13,64,65.1736
13,128,86.8371
13,256,128.863
14,2,147.037
14,4,82.4112
14,7,64.0546
14,8,69.3474
14,9,68.2978
14,10,70.366
14,16,59.9664
14,32,69.7997
14,64,76.7678
14,128,98.8165
14,256,146.692
15,2,119.33
15,4,78.7342
15,7,63.2566
15,8,59.2966
15,9,66.828
15,10,68.2318
15,16,62.8638
15,32,65.7848
15,64,81.7665
15,128,99.8715
15,256,145.76
16,2,152.752
16,4,110.147
16,7,74.5172
16,8,74.1685
16,9,86.7016
16,10,79.4437
16,16,74.5619
16,32,88.0333
16,64,92.8512
16,128,113.399
16,256,168.338
17,2,152.638
17,4,118.353
17,7,80.9678
17,8,74.6384
17,9,79.396
17,10,88.157
17,16,75.3565
17,32,80.2777
17,64,95.1438
17,128,116.273
17,256,167.528
18,2,189.072
18,4,107.903
18,7,93.8943
18,8,98.3948
18,9,96.7336
18,10,98.9354
18,16,94.8349
18,32,99.3803
18,64,113.825
18,128,134.862
18,256,177.776
19,2,194.218
19,4,151.73
19,7,99.2476
19,8,93.7188
19,9,95.9839
19,10,95.5424
19,16,111.033
19,32,97.4073
19,64,109.899
19,128,131.225
19,256,186.437
20,2,236.974
20,4,156.464
20,7,117.88
20,8,112.818
20,9,117.39
20,10,117.53
20,16,115.421
20,32,121.504
20,64,131.128
20,128,155.045
20,256,200.053
21,2,234.992
21,4,155.844
21,7,117.272
21,8,109.504
21,9,118.383
21,10,115.147
21,16,125.131
21,32,116.583
21,64,127.519
21,128,149.679
21,256,208.971
22,2,288.166
22,4,169.289
22,7,141.44
22,8,129.093
22,9,140.837
22,10,135.056
22,16,143.989
22,32,143.316
22,64,150.627
22,128,177.04
22,256,216.697
23,2,268.062
23,4,187.147
23,7,139.031
23,8,131.674
23,9,136.823
23,10,134.341
23,16,139.152
23,32,149.251
23,64,148.565
23,128,176.176
23,256,226.121
24,2,370.077
24,4,265.006
24,7,157.255
24,8,153.951
24,9,157.491
24,10,155.782
24,16,152.869
24,32,157.664
24,64,174.826
24,128,197.075
24,256,248.234
25,2,327.352
25,4,221.93
25,7,159.157
25,8,149.029
25,9,159.609
25,10,155.09
25,16,162.522
25,32,158.896
25,64,174.696
25,128,194.941
25,256,249.32
26,2,371.003
26,4,241.264
26,7,183.357
26,8,180.347
26,9,180.794
26,10,186.41
26,16,181.404
26,32,185.327
26,64,199.883
26,128,217.901
26,256,269.518
27,2,377.481
27,4,256.708
27,7,181.609
27,8,177.876
27,9,192.841
27,10,177.594
27,16,193.924
27,32,185.763
27,64,195.314
27,128,215.825
27,256,266.14
28,2,440.353
28,4,279.635
28,7,211.285
28,8,211.774
28,9,216.009
28,10,203.014
28,16,212.757
28,32,214.614
28,64,225.114
28,128,244.317
28,256,295.532
29,2,421.183
29,4,263.789
29,7,208.405
29,8,202.09
29,9,208.485
29,10,202.085
29,16,206.755
29,32,210.535
29,64,231.153
29,128,279.253
29,256,297.284
30,2,517.122
30,4,330.842
30,7,243.595
30,8,230.466
30,9,251.745
30,10,231.975
30,16,237.8
30,32,237.129
30,64,253.142
30,128,274.337
30,256,332.278
31,2,486.874
31,4,299.477
31,7,248.238
31,8,233.474
31,9,239.931
31,10,236.922
31,16,234.173
31,32,240.727
31,64,250.666
31,128,278.713
31,256,330.353
32,2,545.972
32,4,354.961
32,7,269.388
32,8,262.595
32,9,268.087
32,10,260.89
32,16,264.614
32,32,268.698
32,64,279.818
32,128,298.012
32,256,351.384
33,2,551.133
33,4,360.591
33,7,278.098
33,8,259.133
33,9,260.476
33,10,265.235
33,16,263.046
33,32,270.581
33,64,282.045
33,128,302.918
33,256,352.619
34,2,651.572
34,4,499.63
34,7,575.051
34,8,310.844
34,9,309.505
34,10,300.901
34,16,318.695
34,32,307.901
34,64,318.518
34,128,343.219
34,256,396.457
35,2,637.25
35,4,392.256
35,7,306.751
35,8,311.744
35,9,298.072
35,10,302.644
35,16,314.822
35,32,305.78
35,64,318.943
35,128,334.349
35,256,403.268
36,2,768.702
36,4,448.195
36,7,413.014
36,8,335.242
36,9,409.307
36,10,342.958
36,16,359.257
36,32,344.399
36,64,390.627
36,128,435.67
36,256,505.981
37,2,730.139
37,4,444.832
37,7,432.65
37,8,425.069
37,9,476.375
37,10,513.7
37,16,511.397
