thickness,threads,openmp
29,9,12.8644
29,10,14.0235
29,16,12.6372
29,32,24.0216
29,64,13.4239
29,128,13.0657
29,256,13.6185
30,2,14.8175
30,4,14.2922
30,7,21.1827
30,8,15.0856
30,9,15.1514
30,10,15.0426
30,16,15.0156
30,32,15.0788
30,64,15.191
30,128,15.4122
30,256,16.1894
31,2,15.5376
31,4,15.3357
31,7,15.563
31,8,15.09
31,9,15.2971
31,10,14.4164
31,16,25.0114
31,32,15.5803
31,64,15.2901
31,128,15.1152
31,256,15.5333
32,2,17.3084
32,4,17.2155
32,7,17.2996
32,8,17.6982
32,9,17.4192
32,10,17.3477
32,16,16.1303
32,32,16.4392
32,64,21.6992
32,128,17.7055
32,256,17.7781
33,2,17.8117
33,4,17.3662
33,7,17.7327
33,8,20.1305
33,9,18.343
33,10,16.9663
33,16,16.4693
33,32,17.6321
33,64,16.3243
33,128,17.2746
33,256,22.622
34,2,19.2353
34,4,18.6593
34,7,19.8134
34,8,20.7087
34,9,19.5712
34,10,20.0173
34,16,18.6524
34,32,18.5404
34,64,19.3552
34,128,18.3835
34,256,18.2503
35,2,24.0157
35,4,19.1272
35,7,19.1259
35,8,19.3932
35,9,19.0812
35,10,19.5132
35,16,20.3431
35,32,19.699
35,64,21.2555
35,128,19.8302
35,256,18.7661
36,2,22.4158
36,4,20.655
36,7,23.0053
36,8,21.8067
36,9,22.2762
36,10,23.3078
36,16,22.1327
36,32,22.2396
36,64,21.8636
36,128,21.93
36,256,21.3806
37,2,23.5269
37,4,21.8172
37,7,22.5156
37,8,22.1574
37,9,22.9517
37,10,20.6469
37,16,21.9462
37,32,21.9589
37,64,21.1104
37,128,20.5658
37,256,24.4197
38,2,24.6249
38,4,24.3921
38,7,23.1289
38,8,23.8787
38,9,23.8352
38,10,23.1169
38,16,24.2168
38,32,22.7641
38,64,26.9241
38,128,27.4089
38,256,23.8505
39,2,23.8804
39,4,24.1749
39,7,24.2321
39,8,24.5113
39,9,24.7554
39,10,25.1016
39,16,22.8637
39,32,25.9182
39,64,23.8945
39,128,24.1139
39,256,24.4919
40,2,29.187
40,4,28.4381
40,7,26.4568
40,8,25.4895
40,9,27.8628
40,10,26.73
40,16,25.6781
40,32,26.6955
40,64,25.7086
40,128,26.0867
40,256,27.0382
41,2,28.5698
41,4,27.1324
41,7,34.7252
41,8,26.9019
41,9,26.8996
41,10,25.459
41,16,28.5413
41,32,27.6761
41,64,26.4543
41,128,26.7095
41,256,26.6103
42,2,31.2864
42,4,27.2209
42,7,28.5579
42,8,28.1117
42,9,29.7173
42,10,28.8997
42,16,28.2747
42,32,28.7315
42,64,27.5933
42,128,32.862
42,256,27.7413
43,2,29.0732
43,4,29.0056
43,7,30.2089
43,8,29.2698
43,9,28.876
43,10,27.586
43,16,33.7702
