thickness,threads,openmp
33,10,38.6449
33,16,37.0601
33,32,36.0141
33,64,36.7613
33,128,39.0168
33,256,37.9584
34,2,42.6002
34,4,42.8392
34,7,43.2112
34,8,44.5073
34,9,44.7591
34,10,47.2548
34,16,48.1968
34,32,47.2254
34,64,46.8874
34,128,48.2585
34,256,51.5194
35,2,47.2652
35,4,46.3489
35,7,50.9305
35,8,50.6546
35,9,49.0595
35,10,46.1073
35,16,43.1805
35,32,46.2921
35,64,46.7802
35,128,48.482
35,256,45.4786
36,2,49.4937
36,4,58.4286
36,7,54.8734
36,8,54.313
36,9,49.5157
36,10,57.692
36,16,55.9353
36,32,54.0369
36,64,51.0636
36,128,54.7731
36,256,53.5527
37,2,56.4318
37,4,52.2885
37,7,55.8973
37,8,54.1569
37,9,51.9048
37,10,50.7973
37,16,54.8039
37,32,52.9889
37,64,54.0952
37,128,51.6565
37,256,52.1337
38,2,60.772
38,4,58.4768
38,7,60.1742
38,8,57.1015
38,9,59.2934
38,10,58.5278
38,16,60.4911
38,32,56.7138
38,64,63.4882
38,128,60.0048
38,256,56.6163
39,2,59.8222
39,4,59.687
39,7,60.4775
39,8,60.9455
39,9,59.1563
39,10,60.1171
39,16,56.4892
39,32,60.7932
39,64,56.4941
39,128,61.5903
39,256,59.3217
40,2,67.0024
40,4,67.4566
40,7,63.3151
40,8,68.1214
40,9,59.7348
40,10,69.0507
40,16,65.1017
40,32,64.9464
40,64,63.1364
40,128,63.4547
40,256,66.6947
41,2,62.0251
41,4,65.8154
41,7,68.8717
41,8,64.5393
41,9,63.1845
41,10,67.4236
41,16,64.5882
41,32,67.6732
41,64,63.8503
41,128,67.3925
41,256,67.1664
42,2,65.7906
42,4,69.8591
42,7,66.5982
42,8,77.1321
42,9,69.7837
42,10,69.9403
42,16,71.0078
42,32,77.3375
42,64,72.2051
42,128,67.2661
42,256,72.2585
43,2,68.4755
43,4,69.5139
43,7,71.0165
43,8,70.9074
43,9,70.7974
43,10,66.9268
43,16,70.5415
43,32,72.2114
43,64,68.422
43,128,75.0062
43,256,72.3958
44,2,73.4462
44,4,76.2449
44,7,75.9383
44,8,72.359
44,9,78.5511
44,10,74.9455
44,16,73.5113
44,32,75.6648
44,64,76.5873
44,128,71.9399
44,256,79.6011
45,2,80.8259
45,4,73.1466
45,7,84.8318
45,8,75.6527
45,9,72.847
45,10,83.5916
45,16,75.9576
45,32,74.6193
45,64,78.6854
45,128,77.4992
45,256,74.9237
46,2,83.9885
46,4,84.5259
46,7,80.4547
46,8,88.445
46,9,83.477
